Date,MKT,SMB,HML,RMW,CMA,Momentum,XingQuan,YinHe,JiaoYin,MKT_C,SMB_C,HML_C,RMW_C,CMA_C,Momentum_C,XingQuan_C,YinHe_C,JiaoYin_C
15-May,8.228,14.9806,-28.8744,-6.3902,-9.0953,3.83,14.44,24.6657,21.92,26.008,14.168,-25.2194,-7.5828,-3.1415,12.31,25.86,39.2002,34.56
15-Jun,-7.9652,-3.7857,5.514,-4.0286,6.3227,-11.03,-1.56,-19.1604,-10.6,0.2628,11.1949,-23.3604,-10.4188,-2.7726,-7.2,12.88,5.5053,11.32
15-Jul,-15.131,-5.8296,0.8324,5.6606,-2.2036,14.03,-6.33,-13.6191,-12.16,-23.0962,-9.6153,6.3464,1.632,4.1191,3,-7.89,-32.7795,-22.76
15-Aug,-14.358,-0.6143,5.288,0.3015,3.936,-11.18,-8.49,-13.5679,-8.46,-29.489,-6.4439,6.1204,5.9621,1.7324,2.85,-14.82,-27.187,-20.62
15-Sep,-5.4036,4.01,-4.4819,5.6462,-3.7856,-4.13,1.81,-0.0711,1.4,-19.7616,3.3957,0.8061,5.9477,0.1504,-15.31,-6.68,-13.639,-7.06
15-Oct,13.8358,9.1295,-7.7063,-4.985,-0.5859,11.48,15.97,15.5108,20.78,8.4322,13.1395,-12.1882,0.6612,-4.3715,7.35,17.78,15.4397,22.18
15-Nov,3.761,9.9202,-6.1735,0.7881,-2.8194,-1.93,13.82,8.4316,8.82,17.5968,19.0497,-13.8798,-4.1969,-3.4053,9.55,29.79,23.9424,29.6
15-Dec,3.8537,5.271,-0.8494,0.797,-0.3837,5.38,2.43,5.9141,6.97,7.6147,15.1912,-7.0229,1.5851,-3.2031,3.45,16.25,14.3457,15.79
16-Jan,-25.0635,-5.3844,6.5089,1.7156,2.113,-22.73,-22.91,-24.1393,-25.77,-21.2098,-0.1134,5.6595,2.5126,1.7293,-17.35,-20.48,-18.2252,-18.8
16-Feb,-2.3007,0.0699,3.0516,-1.3299,2.3862,-2.07,0.73,-5.1747,-2.81,-27.3642,-5.3145,9.5605,0.3857,4.4992,-24.8,-22.18,-29.314,-28.58
16-Mar,13.9693,5.8556,-6.2085,0.5837,-4.6241,14.43,15.36,13.7305,17.38,11.6686,5.9255,-3.1569,-0.7462,-2.2379,12.36,16.09,8.5558,14.57
16-Apr,-2.1209,2.0423,1.6842,0.0113,1.3552,-1.59,-1.6,-2.6074,-0.54,11.8484,7.8979,-4.5243,0.595,-3.2689,12.84,13.76,11.1231,16.84
16-May,-0.512,-2.1725,-3.5507,1.2466,-1.1319,1.55,1.64,1.8361,4.81,-2.6329,-0.1302,-1.8665,1.2579,0.2233,-0.04,0.04,-0.7713,4.27
16-Jun,2.3202,3.9365,-7.9681,-0.4144,-1.7161,1.71,4.19,2.7753,7.51,1.8082,1.764,-11.5188,0.8322,-2.848,3.26,5.83,4.6114,12.32
16-Jul,1.2199,-2.9301,5.6051,2.1508,2.0884,2.68,-0.4,-1.5752,-0.16,3.5401,1.0064,-2.363,1.7364,0.3723,4.39,3.79,1.2001,7.35
16-Aug,4.0585,1.7689,2.3046,-0.8198,-0.035,1.86,3.98,0.4946,2.96,5.2784,-1.1612,7.9097,1.331,2.0534,4.54,3.58,-1.0806,2.8
16-Sep,-2.0857,1.6981,1.3221,1.0433,0.7804,-3.07,1.25,-3.4404,1.05,1.9728,3.467,3.6267,0.2235,0.7454,-1.21,5.23,-2.9458,4.01
16-Oct,2.854,0.2764,1.0478,-1.2588,1.8352,2.41,0.6,3.5101,3.19,0.7683,1.9745,2.3699,-0.2155,2.6156,-0.66,1.85,0.0697,4.24
16-Nov,4.1681,-1.8253,4.3145,-0.7668,2.2285,3.34,-0.95,2.3645,3.39,7.0221,-1.5489,5.3623,-2.0256,4.0637,5.75,-0.35,5.8746,6.58
16-Dec,-4.952,0.4172,3.4901,-0.8893,4.1154,-4.53,-5.17,-3.6803,-2.47,-0.7839,-1.4081,7.8046,-1.6561,6.3439,-1.19,-6.12,-1.3158,0.92
