firm_code,year,TFP,Data,Industry,SOE,Incentive_F,Incentive_M,Senior_Edu,CEO_Edu,Ln_Age
121046025,2017,1.7606325,0.46180555,Special equipment manufacturing industry,0,0.54166669,0.60416669,12.25,0,2.7080503
121046027,2017,0.88062859,0.5,"Leather, fur, feathers and footwear industry",0,,0.45833334,12,1,2.6390574
121046028,2017,-1.4709835,0.53125,Textile Industry,0,0.875,,12,1,3.0910425
121046029,2017,,0.49652779,"Leather, fur, feathers and footwear industry",0,0.45833334,0.58333331,11,1,2.9957323
121046030,2017,-0.40810126,0.5173611,Chemical industry,0,0.66666669,,10.5,1,2.3978953
121046031,2017,1.4441864,0.15277778,"Leather, fur, feathers and footwear industry",0,,,10.5,0,2.5649493
121046032,2017,-1.6726544,0.65277779,Paper and paper product industry,0,0.6875,0.75,12,0,2.1972246
121046033,2017,-0.6159656,0.6388889,Furniture manufacturing,0,,,11.25,0,2.3978953
121046034,2017,2.5590878,0.40277779,Textile Industry,0,0.79166669,0.66666669,12,1,3.1354942
121046040,2017,0.72096646,0.56944442,Metal product industry,0,0.5,0.5,13,1,3.0445225
121046041,2017,1.4251722,0.7638889,"Education, art, sport and entertainment product",0,,,13.5,0,2.3025851
121046043,2017,0.054962307,0.49305555,"Computer, communications and other electronic equipment",0,0.6875,0.6875,12,1,2.0794415
